RA,Dec,Name,Kepler_ID,2MASS ID,Data Availability,Seasons on CCD,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3
19 12 15.710,+47 22 29.96,HD_179959,10265370,19121572+4722298,0,4,5.062,6.28,91,64,18,4,600,1016,48,14,4,595,1016,24,8,4,595,1020,40,12,4,599,1020
18 58 46.588,+40 40 45.10, V543_Lyr,5429169,18584658+4040450,0,4,6.477,6.299,0,35,11,3,1017,565,79,23,3,1017,569,51,15,3,1014,569,7,3,3,1012,565
19 37 56.713,+49 17 03.90,HD_185657,11408263,19375671+4917037,2,4,4.989,6.307,108,69,20,1,193,978,9,4,1,193,984,13,6,1,188,983,73,22,1,188,979
19 22 40.906,+37 34 52.40,HD_183354,2156801,19224091+3734523,0,4,4.674,6.32,0,4,2,4,996,288,56,16,4,999,286,84,24,4,1001,283,32,10,4,994,282
18 53 18.488,+40 59 42.69, V541_Lyr,5683912,18531848+4059425,2,4,1.806,6.344,245,36,11,4,449,862,80,23,4,449,858,52,15,4,445,857,8,3,4,444,861
18 52 07.250,+41 22 59.68,HD_175132,6020867,18520723+4122596,2,4,6.315,6.362,434,36,11,4,506,460,80,23,4,506,457,52,15,4,503,456,8,3,4,502,460
19 53 01.246,+47 48 27.79, V819_Cyg,10618721,19530125+4748276,2,4,6.481,6.381,178,51,15,3,641,929,7,3,3,639,925,35,11,3,644,925,79,23,3,645,929
19 27 36.396,+37 56 28.31,HD_183362,2715115,19273638+3756283,0,4,6.253,6.394,90,3,2,3,797,1017,55,16,3,799,1019,83,24,3,802,1022,31,10,3,795,1023
19 46 32.768,+50 00 37.23,HD_187217,11824273,19463275+5000374,2,4,5.179,6.399,174,72,20,4,551,932,12,4,4,550,937,16,6,4,556,937,76,22,4,553,931
19 25 56.619,+44 55 50.71,HD_183124,8752618,19255662+4455508,2,4,5.136,6.441,37,41,13,1,425,1070,42,13,2,1036,456,43,13,3,429,1067,44,13,4,1040,459
18 49 20.670,+43 44 03.80,HD_174621,7939145,18492068+4344037,2,4,5.508,6.447,25,53,16,1,697,1082,81,24,1,697,1077,29,10,1,702,1077,1,2,1,703,1082
19 55 05.199,+47 32 27.60,HD_188853,10425397,19550517+4732276,2,4,5.215,6.449,172,52,15,4,472,935,8,3,4,471,939,36,11,4,476,939,80,23,4,476,936
20 01 45.227,+44 07 08.57,HD_190149,8262528,20014523+4407086,0,4,3.682,6.488,88,32,10,4,916,269,4,2,4,918,275,56,16,4,921,273,84,24,4,924,270
19 17 09.095,+39 01 43.06,HD_181022,3946721,19170907+3901428,0,4,3.755,6.496,0,20,7,4,45,192,60,17,4,50,192,68,19,4,53,189,28,9,4,47,188
18 59 12.292,+39 13 02.36,HD_176582,4136285,18591229+3913022,2,4,6.748,6.51,171,16,6,4,279,187,76,22,4,277,181,72,20,4,274,182,12,4,4,274,186
19 25 18.148,+37 14 42.71,HD_182896,1720554,19251815+3714429,2,4,5.048,6.525,424,4,2,4,485,520,56,16,4,488,518,84,24,4,491,515,32,10,4,484,514
18 46 59.069,+46 18 53.72,HD_174177,9630812,18465905+4618537,0,4,6.276,6.575,72,74,22,2,577,88,70,20,2,581,88,10,4,2,582,83,14,6,2,576,83
19 23 23.777,+50 16 16.61,HD_182691,11912716,19232377+5016166,2,4,6.549,6.602,160,81,24,1,232,757,29,10,1,238,756,1,2,1,239,762,53,16,1,232,762
19 15 43.694,+40 21 35.72,HD_180682,5177450,19154370+4021358,2,4,4.673,6.617,5,17,7,1,979,662,57,17,1,974,662,65,19,1,975,657,25,9,1,979,658
18 50 43.194,+43 57 26.74,HD_174880,8077489,18504318+4357265,2,4,5.179,6.685,43,53,16,1,395,1065,81,24,1,396,1060,29,10,1,400,1060,1,2,1,401,1065
19 20 27.106,+39 55 34.31,HD_181878,4830109,19202710+3955343,2,4,5.292,6.698,6,19,7,3,403,1101,59,17,3,408,1101,67,19,3,410,1104,27,9,3,405,1104
19 57 12.509,+44 15 40.04,AX_Cyg,8324612,19571249+4415399,2,4,3.399,6.698,358,29,10,1,643,714,1,2,1,644,719,53,16,1,638,719,81,24,1,638,714
19 36 56.640,+38 23 01.75,HD_185330,3246460,19365664+3823017,2,4,6.708,6.721,223,8,3,4,274,257,36,11,4,279,258,80,23,4,279,254,52,15,4,276,254
18 55 33.326,+47 26 26.80,HD_175955,10323222,18553332+4726266,2,4,4.999,6.725,449,73,22,1,544,464,69,20,1,549,463,9,4,1,549,468,13,6,1,544,468
18 46 28.102,+43 33 38.97,HD_174020,7800227,18462811+4333390,2,4,4.893,6.753,17,56,16,4,1000,906,84,24,4,1002,903,32,10,4,996,902,4,2,4,998,908
19 34 18.190,+41 55 37.99,HD_184787,6528001,19341818+4155379,0,4,6.617,6.757,333,23,8,3,677,716,39,12,3,680,716,63,18,3,681,720,47,14,3,677,720
19 05 25.403,+42 10 39.55,HD_178090,6675338,19052540+4210393,2,4,4.365,6.758,6,39,12,3,143,984,63,18,3,144,988,47,14,3,139,988,23,8,3,140,983
19 34 39.861,+48 09 52.38,HD_184977,10801714,19343984+4809524,2,4,6.189,6.806,254,65,19,1,319,351,25,9,1,323,351,17,7,1,323,356,57,17,1,318,357
19 06 51.499,+48 55 31.77,HD_178612,11234835,19065148+4855313,2,4,4.84,6.837,237,77,23,1,594,870,49,15,1,597,870,5,3,1,597,874,33,11,1,595,873
19 30 12.854,+46 08 52.08,   AF_Cyg,9528112,19301285+4608520,2,4,1.695,6.838,128,46,14,2,309,496,22,8,2,307,491,38,12,2,303,491,62,18,2,304,495
18 52 59.722,+43 42 48.50,HD_175370,7940959,18525972+4342482,2,4,5.001,6.863,195,54,16,2,241,755,82,24,2,242,759,30,10,2,246,760,2,2,2,247,755
19 19 37.839,+40 16 01.78,HD_181681,5092997,19193784+4016016,0,4,4.122,6.864,57,19,7,3,738,1050,59,17,3,743,1049,67,19,3,746,1052,27,9,3,740,1053
18 55 25.649,+40 10 37.74,HD_175841,4989900,18552564+4010377,2,4,6.491,6.885,224,35,11,3,283,553,79,23,3,283,557,51,15,3,279,557,7,3,3,278,554
19 01 06.549,+48 02 08.01,HD_177151,10716853,19010654+4802081,2,4,5.264,6.887,165,78,23,2,457,181,50,15,2,461,181,6,3,2,460,177,34,11,2,458,178
19 31 16.365,+47 28 52.25,V2083_Cyg,10342012,19311634+4728522,0,4,6.317,6.902,0,66,19,2,55,1111,26,9,2,59,1111,18,7,2,60,1106,58,17,2,55,1106
19 24 03.380,+44 56 00.74,HD_182736,8751420,19240337+4456005,2,4,5.515,6.911,202,41,13,1,679,905,42,13,2,871,709,43,13,3,683,902,44,13,4,875,712
19 55 54.077,+47 05 24.22,HD_189013,10096499,19555407+4705242,2,4,6.525,6.922,458,52,15,4,547,515,8,3,4,545,519,36,11,4,550,519,80,23,4,551,515
19 31 18.142,+42 59 13.18,HD_184148,7366121,19311815+4259132,2,4,5.373,6.923,357,22,8,2,407,646,38,12,2,402,646,62,18,2,403,650,46,14,2,408,651
